D0=4000EF D1=DEF0 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32C90 39c4=0 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032C90: move.b  $340000.l, D3
D0=4000EF D1=DEF0 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32C96 39c4=0 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032C96: not.b   D0
D0=400010 D1=DEF0 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32C98 39c4=0 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032C98: move.b  ($39c4,A5), D1
D0=400010 D1=DE00 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32C9C 39c4=0 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032C9C: move.b  D0, ($39c4,A5)
D0=400010 D1=DE00 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32CA0 39c4=10 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032CA0: move.b  D1, ($39c7,A5)
D0=400010 D1=DE00 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32CA4 39c4=10 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032CA4: move.b  D1, D2
D0=400010 D1=DE00 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32CA6 39c4=10 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032CA6: and.b   D0, D1
D0=400010 D1=DE00 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32CA8 39c4=10 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032CA8: move.b  D1, ($39ca,A5)
D0=400010 D1=DE00 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32CAC 39c4=10 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032CAC: move.b  D2, D1
D0=400010 D1=DE00 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32CAE 39c4=10 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032CAE: eor.b   D0, D1
D0=400010 D1=DE10 D2=0 D3=FFFF D4=1A804500 D5=846A8514 D6=846A8514 D7=FFFF A0=10891A A1=101900 A2=F6F98 A3=108F62 A4=50F1008 A5=108000 A6=108E4E PC=32CB0 39c4=10 39c5=0 39c7=0 39c8=0 39ca=0 39cb=0 39cc=0 39cd=0 39cf=0 39d7=0 39e0=0 39e1=0 39e2=0 39e3=0 39e5=0 39ed=0 3a01=0 3a02=0 3a03=0 3a05=10 -- 032CB0: and.b   D1, D2
